Player,Team,Pos,FPTS,ADP Avg,ADP Std
Josh Allen,BUF,QB,379.9,37.1,6.2
Pat Mahomes,KC,QB,378.1,24,5.8
Kyler Murray,ARI,QB,357.6,44.2,5.5
Lamar Jackson,BAL,QB,349.5,52.3,7
Dak Prescott,DAL,QB,341.3,62.4,7.3
Aaron Rodgers,GB,QB,334.7,62.9,7.2
Justin Herbert,LAC,QB,332.8,67.4,7.7
Russell Wilson,SEA,QB,332.8,70.3,6.5
Tom Brady,TB,QB,323.5,79.8,8.6
Ryan Tannehill,TEN,QB,305,93.3,9.5
Jalen Hurts,PHI,QB,303.7,100.7,10
Joe Burrow,CIN,QB,287.2,111.6,11.5
Matthew Stafford,LAR,QB,284.9,88.3,9.1
Trevor Lawrence,JAC,QB,276.6,134,12.5
Matt Ryan,ATL,QB,273.2,123.3,12.7
Baker Mayfield,CLE,QB,267.7,136.7,19.5
Christian McCaffrey,CAR,RB,378.5,1.2,0.5
Dalvin Cook,MIN,RB,337,2.5,0.7
Alvin Kamara,NO,RB,326.6,3.7,1
Saquon Barkley,NYG,RB,301.2,10.8,2.9
Derrick Henry,TEN,RB,297.5,3.7,1.2
Ezekiel Elliott,DAL,RB,295.6,5.4,1.3
Austin Ekeler,LAC,RB,289.1,9.7,2.3
Aaron Jones,GB,RB,285.1,7.3,1.7
Jonathan Taylor,IND,RB,279.5,13.9,2.9
Nick Chubb,CLE,RB,271.7,9.4,2.3
Antonio Gibson,WAS,RB,271.4,15.6,2.4
Najee Harris,PIT,RB,270,12.8,2.7
Joe Mixon,CIN,RB,266.7,19.2,2.9
Clyde Edwards-Helaire,KC,RB,264.3,19.5,2.7
D'Andre Swift,DET,RB,259.8,33.4,4.3
Miles Sanders,PHI,RB,256.4,39.1,4.5
David Montgomery,CHI,RB,252,27.7,3.7
Chris Carson,SEA,RB,249.6,29.2,3.9
Darrell Henderson,LAR,RB,241.6,34.4,4.1
James Robinson,JAC,RB,240.3,47.2,10.5
J.K. Dobbins,BAL,RB,240.3,25.7,4
Josh Jacobs,LV,RB,237.4,35.3,4.9
Mike Davis,ATL,RB,216.9,43.9,5.2
Chase Edmonds,ARI,RB,211.9,60,6.1
Myles Gaskin,MIA,RB,185.2,44.8,5.2
